Cég ID,Cégnév,Alakulás dátuma
199025,GEOHOLDING Vállalkozási Részvénytársaság,04/30/1992
90939,Geomédia Kiadói Részvénytársaság,12/23/1996
90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,09/28/2006
199026,GLÓBUSZ INFÓ Utazási Iroda Korlátolt Felelősségű Társaság Kft.,04/23/1996
90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",01/09/1996
90964,"G-PUBLISHING Lapkiadó, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",03/10/2004
97348,Gulipán 93 Kereskedelmi és Szolgáltató Betéti Társaság,01/22/1992
199027,Győri Innovációs és Marketing Centrum Kft.,03/05/1991
199028,H + P Szuperinfó Hirdetésszervező és Szolgáltató Korlátolt Felelősségű Társaság,07/01/1994
91029,Hálózatos Televíziók Rt.,07/16/1999
91040,Haszon Lapkiadó Korlátolt Felelősségű Társaság,01/30/2003
91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,10/28/1997
97854,Helikon Infó Informatikai és Szolgáltató Korlátolt Felelősségű Társaság,02/28/2006
199029,Heti Szó Plusz Kiadó és Szolgáltató Betéti Társaság,04/24/1993
91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,05/09/2001
93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,01/24/1989
199030,HÍD Rádió Műsorkészítő és Sugárzó Korlátolt Felelősségű Társaság,02/26/1990
91092,Híd Rádió Műsorkészítő és Sugárzó Zártkörűen Működő Részvénytársaság,11/05/1999
91112,Hír Televízió Rt.,06/25/2002
199031,"HÍR-NÉV 2000 Gyártó, Kereskedelmi és Szolgáltató Betéti Társaság",09/06/1995
199032,Hungarian Broadcasting Corporation Televíziós Rt,05/25/1997
91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,11/01/2000
91168,IKO Kábeltévé Kft.,07/08/2003
91177,IMPRESS-RÉGIÓ Kiadó és Szolgáltató Korlátolt Felelősségű Társaság,11/01/1995
91183,INFO-24. TV Televíziós Zártkörűen Müködő Részvénytársaság,06/30/2008
199033,INFOPRESS 91 Kereskedelmi és Szolgáltató Betéti Társaság,12/19/1998
91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,05/29/1998
93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",11/05/2002
91917,SZUPERINFÓ-KELET Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,10/01/2009
96100,"Krekk-Info Reklám, Terjesztési és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság",06/26/2009
199034,INN-PRESS Lapkiadó Betéti Társaság,11/04/1992
91195,INSZOL Győri Vagyongazdálkodó és Szolgáltató Zrt.,11/26/1992
91206,IQ PRESS Lapkiadó Korlátolt Felelősségü Társaság,04/15/1999
199035,IRÁNYÁR LAPOK Kiadói és Nyomdaipari Korlátolt Felelősségű Társaság,07/31/1996
199036,Írisz TV Rt,04/01/1997
91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,10/01/1994
199037,Kamarapressz Kiadó és Szolgáltató Közhasznú Társaság,06/10/1996
91304,Kapos Extra Bt.,09/15/1994
199038,Keleti Hirdető és Szolgáltató Kft.,04/13/1994
199039,Kelet-Magyarország Lapkiadó Korlátolt Felelősségű Társaság,10/10/1990
91401,Klubrádió Rt.,03/31/2005
199040,Klubrádió Szolgáltató Kft.,06/05/1998
95902,Komáromi Nyomda és Kiadó Korlátolt Felelősségű Társaság,03/31/1992
199041,Kósiker Kft.,09/25/2001
199042,Körösi Napvilág Korlátolt Felelősségű Társaság,08/08/1995
91459,Közép-Dunántúli Napló Kiadói Betéti Társaság,08/31/2009
91541,LÁNCHÍD RÁDIÓ Műsorszolgáltató Korlátolt Felelősségű Társaság,10/09/2006
91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,09/30/1996
91587,LOGOD Kereskedelmi és Szolgáltató B.T.,12/08/1992
91661,Magyar Hírlap Kiadói Korlátolt Felelősségű Társaság,11/15/2004
199043,MAGYAR HIRLAP KÖNYV- ÉS LAPKIADÓ RÉSZVÉNYTÁRSASÁG,02/13/1990
91719,Magyar Rádió Részvénytársaság,08/01/1996
91738,Magyar Televízió Rt.,10/01/1996
91753,Magyarnarancs.hu Lapkiadó Korlátolt Felelősségű Társaság,10/06/1998
199044,Mahir Kiadó Korlátolt Felelősségű Társaság,07/07/1994
199045,manager magazin Budapest Kiadó Korlátolt Felelősségű Társaság,02/05/2003
91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,07/09/1990
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,03/20/1990
96342,Második Produkció Kft.,05/30/1994
91842,Média 11. Tömegkommunikációs és Szolgáltató Korlátolt Felelősségű Társaság,05/04/1992
199046,MIHÍR 2004 Miskolci Hirdető Korlátolt Felelősségű Társaság,11/30/2003
91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,06/18/2008
199047,M-Invest 2000 Ingatlankezelő Korlátolt Felelősségű Társaság,12/07/1998
199048,Miskolci Kommunikációs Kht.,06/18/2008
91679,MKIK Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,01/01/2009
199049,M-MEDIEN GROUP Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,11/12/1996
91935,MOBIL-EXPO Kereskedelmi Korlátolt Felelősségü Társaság,11/06/1991
91722,M-RTL Rt,04/08/1997
91998,MTG Metro Gratis Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,12/15/1997
92000,MTM-SBS Televízió Rt.,07/12/1996
92002,MTV Networks Magyarország Műsorszolgáltató Zártkörűen Működő Részvénytársaság,07/02/2007
199050,MULTIVIZIÓ-VESZPRÉM Lapkiadó Korlátolt Felelősségű Társaság,02/15/1996
199051,MűSOR-HANG Műsorszolgáltató Korlátolt Felelősségű Társaság,02/10/2003
92015,MűSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,10/28/2009
92066,Napi Gazdaság Kiadó Korlátolt Felelősségű Társaság,06/29/1992
199052,NAPLÓ Lapkiadó Korlátolt Felelősségü Társaság,10/10/1990
92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,04/13/1994
199053,"Nemzeti Korona Lap, Könyvkiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",06/09/1994
199054,Nemzeti Sport Lap- Könyvkiadó és Szolgáltató Korlátolt Felelősségű Társaság,03/01/1990
92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,07/30/1990
92092,Népszava Lapkiadó Korlátolt Felelősségű Társaság,01/29/2003
92093,Népújság Korlátolt Felelősségű Társaság Békéscsaba,10/11/1990
93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,06/30/2000
199055,New World Publishing Kft.,12/30/1993
92115,Nógrádi Média Kiadói Korlátolt Felelősségű Társaság,01/01/1999
199056,NSZ 1999 Lapkiadó Részvénytársaság,10/21/1999
92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,07/06/2000
98208,Országos Kereskedelmi Rádió Rt.,07/08/1997
199057,P & B Média Portfóliókezelő Rt.,05/09/1994
92254,Pannon Broadcast Televízió Kft.,12/14/1990
92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,12/14/1990
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,05/11/1992
92287,Pax TV Rt.,10/23/2001
92292,Pécs Médiaközpont Korlátolt Felelősségű Társaság,11/27/1998
92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,10/11/1990
199058,Piac és Marketing Kft.,03/09/2004
92333,Piac és Profit Kiadó Korlátolt Felelősségű Társaság,03/14/1997
92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,04/19/2010
199059,PORTA Ingatlanközvetítő és Reklámszervező Gazdasági Munkaközösség,10/11/1989
96008,Press+Print Kft.,04/22/1991
92403,PROGETTO MÉDIA Szolgáltató Korlátolt Felelősségű Társaság,03/14/2006
92404,Progressio Lapkiadó és Szolgáltató Kft.,04/01/1992
92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,12/01/1994
92455,Rádió Juventus Műsorszolgáltató Részvénytársaság,12/14/1999
92513,RF-HOBBY Lapkiadó Korlátolt Felelősségű Társaság,01/05/2004
92518,Ringier Kiadó Korlátolt Felelősségű Társaság,03/01/1993
92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,07/20/2001
92565,Sanoma Digital Media Zrt.,06/28/2005
93480,Sláger Rádió Műsorszolgáltató Részvénytársaság,07/09/1997
199060,Spektrum-TV Rt,01/31/1997
199061,Sport1 TV Műsorszolgáltató Zrt.,07/03/2000
92645,Sprint Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,01/23/1990
199062,Strigonium Számviteli és Gazdasági Tanácsadó Zártkörűen Működő Részvénytársaság,08/10/1989
96037,Stringonium Press Kft.,04/15/2009
199063,Szabad Föld Lap- és Könyvkiadó Részvénytársaság,05/08/1990
199064,Szegedi Közlekedési Korlátolt Felelősségű Társaság,05/31/1994
199065,Szív TV Rt.,01/01/1997
92805,Sztrato Kiadói Korlátolt Felelősségű Társaság,10/31/1994
92839,TATABÁNYAI KÖZÖSSÉGI TELEVIZIÓ Korlátolt Felelősségű Társaság,11/10/1994
92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,04/23/1990
99632,Tel-Info Informatikai és Szolgáltató Betéti Társaság,12/27/1991
93923,Tematik Kabel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,11/08/2007
92881,Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság,09/17/2004
92954,TUEGO Szolgáltató és Kereskedelmi Közkereseti Társaság,02/28/1997
92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,08/13/2008
199066,TV Paprika Rt.,08/30/2004
199067,TVegy Kultúrális és Műsorszolgáltató Rt,03/31/2000
92990,Újpesti Sajtó Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,03/03/2010
92999,Ursa Et Ursus Kiadó Kft,08/17/2009
199068,Városi Televízió Kft.,03/09/1999
93039,VÁROS-KÉP Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,11/25/2008
93510,Vas Népe Reklám-Propaganda és Kiadói Betéti Társaság,08/31/2009
92971,VH Információs Korlátolt Felelősségű Társaság,06/16/1993
98204,Viasat Hungária Rt,09/04/2000
93113,Vital TV Zrt.,10/10/2005
199069,Vogel Publishing Kiadó Korlátolt Felelősségű Társaság,12/29/1993
93140,"Word Communications Kiadói, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",02/07/2002
93152,Z+ Műsorszolgáltató Rt.,05/27/1997
93165,Zalai Hírlap Kiadói Betéti Társaság,08/31/2009
199070,Zenit Televízió Rt.,09/01/2000
199071,ZEPHYR 2000 Kereskedelmi és Szolgáltató Betéti Társaság,05/15/1994
93186,Zöld Újság Tömegkommunikációs és Kiadói Zártkörűen Működő Részvénytársaság,09/26/1991
96941,Zselici Forrás Szolgáltató Korlátolt Felelősségű Társaság,07/16/2007
199072,Budapesti Kommunikációs Rt.,06/21/1993
199015,dr. Bródy Péter,
199073,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",10/10/1990
91968,MOTOR-PRESSE BUDAPEST Kft.,12/28/1995
